File,WaveData20240328_004.csv,
1534.619200,1.0060E-005,1534.619200,9.5080E-005,1534.619200,7.3420E-007,1534.619200,3.6030E-007,1534.619200,3.6030E-007
1534.670100,9.9640E-006,1534.670100,9.5470E-005,1534.670100,7.2890E-007,1534.670100,3.3360E-007,1534.670100,3.3360E-007
1534.721000,9.9740E-006,1534.721000,9.6060E-005,1534.721000,7.3280E-007,1534.721000,3.6060E-007,1534.721000,3.6060E-007
1534.771900,9.9790E-006,1534.771900,9.6620E-005,1534.771900,7.3330E-007,1534.771900,3.7070E-007,1534.771900,3.7070E-007
1534.822800,9.8990E-006,1534.822800,9.7090E-005,1534.822800,7.3850E-007,1534.822800,3.5730E-007,1534.822800,3.5730E-007
1534.873700,9.7880E-006,1534.873700,9.7590E-005,1534.873700,7.2010E-007,1534.873700,3.5330E-007,1534.873700,3.5330E-007
1534.924600,9.5040E-006,1534.924600,9.8180E-005,1534.924600,7.0130E-007,1534.924600,3.2820E-007,1534.924600,3.2820E-007
1534.975500,9.0440E-006,1534.975500,9.8660E-005,1534.975500,6.6980E-007,1534.975500,3.2350E-007,1534.975500,3.2350E-007
1535.026400,8.2370E-006,1535.026400,9.9230E-005,1535.026400,6.1940E-007,1535.026400,3.1000E-007,1535.026400,3.1000E-007
1535.077300,6.8850E-006,1535.077300,9.9760E-005,1535.077300,5.2160E-007,1535.077300,2.6790E-007,1535.077300,2.6790E-007
1535.128200,5.0950E-006,1535.128200,1.0020E-004,1535.128200,3.9930E-007,1535.128200,2.3650E-007,1535.128200,2.3650E-007
1535.179100,3.3630E-006,1535.179100,1.0070E-004,1535.179100,2.7440E-007,1535.179100,1.3090E-007,1535.179100,1.3090E-007
1535.230000,1.9940E-006,1535.230000,1.0130E-004,1535.230000,1.6900E-007,1535.230000,1.1500E-007,1535.230000,1.1500E-007
1535.280900,1.1270E-006,1535.280900,1.0180E-004,1535.280900,9.4020E-008,1535.280900,8.3190E-008,1535.280900,8.3190E-008
1535.331800,6.4040E-007,1535.331800,1.0230E-004,1535.331800,4.7990E-008,1535.331800,5.9170E-008,1535.331800,5.9170E-008
1535.382700,3.6060E-007,1535.382700,1.0270E-004,1535.382700,2.9630E-008,1535.382700,2.9270E-008,1535.382700,2.9270E-008
1535.433600,2.3460E-007,1535.433600,1.0330E-004,1535.433600,2.3440E-008,1535.433600,3.1620E-008,1535.433600,3.1620E-008
1535.484500,1.8300E-007,1535.484500,1.0380E-004,1535.484500,1.7140E-008,1535.484500,2.3140E-008,1535.484500,2.3140E-008
1535.535400,1.6840E-007,1535.535400,1.0420E-004,1535.535400,1.3070E-008,1535.535400,2.7160E-008,1535.535400,2.7160E-008
1535.586300,1.7230E-007,1535.586300,1.0480E-004,1535.586300,1.2350E-008,1535.586300,1.7670E-008,1535.586300,1.7670E-008
1535.637200,1.4470E-007,1535.637200,1.0520E-004,1535.637200,1.1380E-008,1535.637200,5.4100E-009,1535.637200,5.4100E-009
1535.688100,1.3740E-007,1535.688100,1.0570E-004,1535.688100,1.3150E-008,1535.688100,4.1490E-008,1535.688100,4.1490E-008
1535.739000,1.1270E-007,1535.739000,1.0620E-004,1535.739000,1.7140E-008,1535.739000,-4.9690E-009,1535.739000,-4.9690E-009
1535.789900,1.7210E-007,1535.789900,1.0670E-004,1535.789900,1.5730E-008,1535.789900,5.7610E-009,1535.789900,5.7610E-009
1535.840800,1.5410E-007,1535.840800,1.0710E-004,1535.840800,1.1640E-008,1535.840800,1.9020E-008,1535.840800,1.9020E-008
1535.891700,1.2970E-007,1535.891700,1.0770E-004,1535.891700,2.2100E-008,1535.891700,1.4960E-008,1535.891700,1.4960E-008
1535.942600,1.4840E-007,1535.942600,1.0810E-004,1535.942600,9.8980E-009,1535.942600,2.1690E-008,1535.942600,2.1690E-008
1535.993500,1.3440E-007,1535.993500,1.0860E-004,1535.993500,1.2270E-008,1535.993500,2.7160E-008,1535.993500,2.7160E-008
1536.044400,1.1020E-007,1536.044400,1.0910E-004,1536.044400,1.2270E-008,1536.044400,1.4340E-008,1536.044400,1.4340E-008
1536.095300,1.1340E-007,1536.095300,1.0960E-004,1536.095300,1.1090E-008,1536.095300,-1.7900E-008,1536.095300,-1.7900E-008
1536.146200,1.2000E-007,1536.146200,1.1000E-004,1536.146200,1.2580E-008,1536.146200,1.4320E-008,1536.146200,1.4320E-008
1536.197100,1.1040E-007,1536.197100,1.1040E-004,1536.197100,1.4640E-008,1536.197100,2.0550E-008,1536.197100,2.0550E-008
1536.248000,1.2250E-007,1536.248000,1.1090E-004,1536.248000,1.0530E-008,1536.248000,1.2120E-008,1536.248000,1.2120E-008
1536.298900,1.0270E-007,1536.298900,1.1140E-004,1536.298900,1.2250E-008,1536.298900,1.5280E-008,1536.298900,1.5280E-008
1536.349800,9.5630E-008,1536.349800,1.1180E-004,1536.349800,1.3380E-008,1536.349800,2.0280E-008,1536.349800,2.0280E-008
1536.400700,1.1560E-007,1536.400700,1.1230E-004,1536.400700,1.0440E-008,1536.400700,7.4890E-009,1536.400700,7.4890E-009
1536.451600,9.5420E-008,1536.451600,1.1270E-004,1536.451600,1.2670E-008,1536.451600,2.1580E-008,1536.451600,2.1580E-008
1536.502500,9.4870E-008,1536.502500,1.1320E-004,1536.502500,1.3010E-008,1536.502500,2.4220E-008,1536.502500,2.4220E-008
1536.553400,1.1070E-007,1536.553400,1.1360E-004,1536.553400,1.2500E-008,1536.553400,2.2280E-008,1536.553400,2.2280E-008
1536.604300,9.7870E-008,1536.604300,1.1400E-004,1536.604300,1.2200E-008,1536.604300,1.8450E-008,1536.604300,1.8450E-008
1536.655200,9.3910E-008,1536.655200,1.1430E-004,1536.655200,9.9910E-009,1536.655200,2.8860E-008,1536.655200,2.8860E-008
1536.706100,1.0150E-007,1536.706100,1.1470E-004,1536.706100,1.4650E-008,1536.706100,-2.5260E-009,1536.706100,-2.5260E-009
1536.757000,7.8200E-008,1536.757000,1.1520E-004,1536.757000,1.2960E-008,1536.757000,1.5320E-008,1536.757000,1.5320E-008
1536.807900,8.4480E-008,1536.807900,1.1550E-004,1536.807900,1.2370E-008,1536.807900,4.4420E-009,1536.807900,4.4420E-009
1536.858800,8.8440E-008,1536.858800,1.1600E-004,1536.858800,8.7060E-009,1536.858800,1.2510E-008,1536.858800,1.2510E-008
1536.909700,7.6570E-008,1536.909700,1.1630E-004,1536.909700,2.6680E-008,1536.909700,2.5600E-008,1536.909700,2.5600E-008
1536.960600,8.2000E-008,1536.960600,1.1660E-004,1536.960600,6.1560E-009,1536.960600,7.6930E-009,1536.960600,7.6930E-009
1537.011500,7.7350E-008,1537.011500,1.1710E-004,1537.011500,7.3620E-009,1537.011500,2.4920E-009,1537.011500,2.4920E-009
1537.062400,8.8660E-008,1537.062400,1.1750E-004,1537.062400,7.2270E-009,1537.062400,-2.6500E-009,1537.062400,-2.6500E-009
1537.113300,8.0560E-008,1537.113300,1.1800E-004,1537.113300,1.0970E-008,1537.113300,2.6730E-008,1537.113300,2.6730E-008
1537.164200,9.8060E-008,1537.164200,1.1830E-004,1537.164200,1.1880E-008,1537.164200,1.0490E-008,1537.164200,1.0490E-008
1537.215100,9.4820E-008,1537.215100,1.1870E-004,1537.215100,1.0440E-008,1537.215100,1.7530E-008,1537.215100,1.7530E-008
1537.266000,7.7430E-008,1537.266000,1.1900E-004,1537.266000,1.2510E-008,1537.266000,2.4870E-008,1537.266000,2.4870E-008
1537.316900,6.1540E-008,1537.316900,1.1940E-004,1537.316900,1.4890E-008,1537.316900,2.9130E-008,1537.316900,2.9130E-008
1537.367800,8.9640E-008,1537.367800,1.1970E-004,1537.367800,1.7250E-008,1537.367800,1.9830E-008,1537.367800,1.9830E-008
1537.418700,7.7520E-008,1537.418700,1.2000E-004,1537.418700,6.1510E-009,1537.418700,1.9660E-008,1537.418700,1.9660E-008
1537.469600,9.3490E-008,1537.469600,1.2040E-004,1537.469600,1.3240E-008,1537.469600,-1.6670E-009,1537.469600,-1.6670E-009
1537.520500,6.6330E-008,1537.520500,1.2070E-004,1537.520500,1.2860E-008,1537.520500,2.8820E-008,1537.520500,2.8820E-008
1537.571400,9.7700E-008,1537.571400,1.2090E-004,1537.571400,1.0180E-008,1537.571400,1.9030E-008,1537.571400,1.9030E-008
1537.622300,7.3640E-008,1537.622300,1.2120E-004,1537.622300,1.1260E-008,1537.622300,1.1340E-008,1537.622300,1.1340E-008
1537.673200,8.5410E-008,1537.673200,1.2170E-004,1537.673200,1.4960E-008,1537.673200,9.2210E-009,1537.673200,9.2210E-009
1537.724100,8.8800E-008,1537.724100,1.2200E-004,1537.724100,1.4850E-008,1537.724100,1.4530E-008,1537.724100,1.4530E-008
1537.775000,8.7470E-008,1537.775000,1.2230E-004,1537.775000,1.1480E-008,1537.775000,1.4010E-008,1537.775000,1.4010E-008
1537.825900,8.5740E-008,1537.825900,1.2260E-004,1537.825900,8.1530E-009,1537.825900,1.4970E-008,1537.825900,1.4970E-008
1537.876800,7.1710E-008,1537.876800,1.2290E-004,1537.876800,1.0540E-008,1537.876800,2.0120E-008,1537.876800,2.0120E-008
1537.927700,9.6500E-008,1537.927700,1.2310E-004,1537.927700,1.3590E-008,1537.927700,2.7990E-008,1537.927700,2.7990E-008
1537.978600,9.7290E-008,1537.978600,1.2340E-004,1537.978600,9.0890E-009,1537.978600,2.5740E-008,1537.978600,2.5740E-008
1538.029500,7.7190E-008,1538.029500,1.2380E-004,1538.029500,1.8390E-008,1538.029500,1.6790E-008,1538.029500,1.6790E-008
1538.080400,1.0150E-007,1538.080400,1.2400E-004,1538.080400,1.1260E-008,1538.080400,2.4700E-008,1538.080400,2.4700E-008
1538.131300,9.5610E-008,1538.131300,1.2420E-004,1538.131300,1.1230E-008,1538.131300,1.5280E-008,1538.131300,1.5280E-008
1538.182200,8.9280E-008,1538.182200,1.2440E-004,1538.182200,1.4010E-008,1538.182200,1.3030E-008,1538.182200,1.3030E-008
1538.233100,1.1840E-007,1538.233100,1.2480E-004,1538.233100,1.4320E-008,1538.233100,2.8880E-008,1538.233100,2.8880E-008
1538.284000,1.1180E-007,1538.284000,1.2500E-004,1538.284000,5.3510E-009,1538.284000,2.6970E-008,1538.284000,2.6970E-008
1538.334900,8.1230E-008,1538.334900,1.2510E-004,1538.334900,9.8470E-009,1538.334900,2.6840E-008,1538.334900,2.6840E-008
1538.385800,1.0560E-007,1538.385800,1.2550E-004,1538.385800,1.2400E-008,1538.385800,2.1340E-008,1538.385800,2.1340E-008
1538.436700,9.6400E-008,1538.436700,1.2560E-004,1538.436700,1.2050E-008,1538.436700,2.2650E-008,1538.436700,2.2650E-008
1538.487600,1.1360E-007,1538.487600,1.2590E-004,1538.487600,1.1680E-008,1538.487600,1.7590E-008,1538.487600,1.7590E-008
1538.538500,7.4710E-008,1538.538500,1.2610E-004,1538.538500,1.4220E-008,1538.538500,2.9440E-008,1538.538500,2.9440E-008
1538.589400,1.1790E-007,1538.589400,1.2630E-004,1538.589400,1.2690E-008,1538.589400,2.5090E-008,1538.589400,2.5090E-008
1538.640300,1.0410E-007,1538.640300,1.2640E-004,1538.640300,1.3860E-008,1538.640300,1.1200E-008,1538.640300,1.1200E-008
1538.691200,1.1840E-007,1538.691200,1.2660E-004,1538.691200,1.4100E-008,1538.691200,7.7770E-009,1538.691200,7.7770E-009
1538.742100,1.1810E-007,1538.742100,1.2690E-004,1538.742100,1.0790E-008,1538.742100,2.6420E-008,1538.742100,2.6420E-008
1538.793000,1.0600E-007,1538.793000,1.2700E-004,1538.793000,1.2630E-008,1538.793000,8.1740E-009,1538.793000,8.1740E-009
1538.843900,1.3080E-007,1538.843900,1.2720E-004,1538.843900,1.2280E-008,1538.843900,1.9990E-008,1538.843900,1.9990E-008
1538.894800,1.1920E-007,1538.894800,1.2730E-004,1538.894800,1.4280E-008,1538.894800,2.3510E-008,1538.894800,2.3510E-008
1538.945700,1.4840E-007,1538.945700,1.2740E-004,1538.945700,1.8130E-008,1538.945700,1.2620E-008,1538.945700,1.2620E-008
1538.996600,2.4470E-007,1538.996600,1.2760E-004,1538.996600,1.7640E-008,1538.996600,1.8730E-008,1538.996600,1.8730E-008
1539.047500,6.5990E-007,1539.047500,1.2780E-004,1539.047500,4.3030E-008,1539.047500,3.4960E-008,1539.047500,3.4960E-008
1539.098400,1.5930E-006,1539.098400,1.2800E-004,1539.098400,1.2610E-007,1539.098400,5.1280E-008,1539.098400,5.1280E-008
1539.149300,3.5480E-006,1539.149300,1.2800E-004,1539.149300,2.6330E-007,1539.149300,6.8930E-008,1539.149300,6.8930E-008
1539.200200,6.1050E-006,1539.200200,1.2820E-004,1539.200200,4.4870E-007,1539.200200,1.4810E-007,1539.200200,1.4810E-007
1539.251100,8.6590E-006,1539.251100,1.2830E-004,1539.251100,6.4660E-007,1539.251100,2.4480E-007,1539.251100,2.4480E-007
1539.302000,1.0690E-005,1539.302000,1.2840E-004,1539.302000,8.0210E-007,1539.302000,3.8380E-007,1539.302000,3.8380E-007
1539.352900,1.1910E-005,1539.352900,1.2850E-004,1539.352900,9.0920E-007,1539.352900,4.1700E-007,1539.352900,4.1700E-007
1539.403800,1.2430E-005,1539.403800,1.2860E-004,1539.403800,9.4630E-007,1539.403800,4.4980E-007,1539.403800,4.4980E-007
1539.454700,1.2670E-005,1539.454700,1.2860E-004,1539.454700,9.7520E-007,1539.454700,4.5230E-007,1539.454700,4.5230E-007
1539.505600,1.2630E-005,1539.505600,1.2870E-004,1539.505600,9.7510E-007,1539.505600,4.5130E-007,1539.505600,4.5130E-007
1539.556500,1.2690E-005,1539.556500,1.2880E-004,1539.556500,9.8110E-007,1539.556500,4.6370E-007,1539.556500,4.6370E-007
1539.607400,1.2700E-005,1539.607400,1.2900E-004,1539.607400,9.7720E-007,1539.607400,4.5030E-007,1539.607400,4.5030E-007
1539.658300,1.2700E-005,1539.658300,1.2900E-004,1539.658300,9.7500E-007,1539.658300,4.7900E-007,1539.658300,4.7900E-007
1539.709200,1.2630E-005,1539.709200,1.2910E-004,1539.709200,9.7700E-007,1539.709200,4.8590E-007,1539.709200,4.8590E-007
1539.760100,1.2630E-005,1539.760100,1.2920E-004,1539.760100,9.7790E-007,1539.760100,4.6050E-007,1539.760100,4.6050E-007
1539.811000,1.2640E-005,1539.811000,1.2930E-004,1539.811000,9.8080E-007,1539.811000,4.6370E-007,1539.811000,4.6370E-007
1539.861900,1.2660E-005,1539.861900,1.2940E-004,1539.861900,9.7250E-007,1539.861900,4.8090E-007,1539.861900,4.8090E-007
1539.912800,1.2620E-005,1539.912800,1.2930E-004,1539.912800,9.7300E-007,1539.912800,4.3470E-007,1539.912800,4.3470E-007
1539.963700,1.2380E-005,1539.963700,1.2930E-004,1539.963700,9.6230E-007,1539.963700,4.5020E-007,1539.963700,4.5020E-007
1540.014600,1.1810E-005,1540.014600,1.2930E-004,1540.014600,9.2260E-007,1540.014600,4.4450E-007,1540.014600,4.4450E-007
1540.065500,1.0590E-005,1540.065500,1.2930E-004,1540.065500,8.3380E-007,1540.065500,4.3780E-007,1540.065500,4.3780E-007
1540.116400,8.5650E-006,1540.116400,1.2950E-004,1540.116400,6.8250E-007,1540.116400,3.3230E-007,1540.116400,3.3230E-007
1540.167300,6.0100E-006,1540.167300,1.2940E-004,1540.167300,4.8680E-007,1540.167300,3.0510E-007,1540.167300,3.0510E-007
1540.218200,3.4900E-006,1540.218200,1.2930E-004,1540.218200,2.9990E-007,1540.218200,1.8120E-007,1540.218200,1.8120E-007
1540.269100,1.7680E-006,1540.269100,1.2940E-004,1540.269100,1.5170E-007,1540.269100,1.2520E-007,1540.269100,1.2520E-007
1540.320000,8.3640E-007,1540.320000,1.2940E-004,1540.320000,7.5420E-008,1540.320000,6.0870E-008,1540.320000,6.0870E-008
1540.370900,3.2750E-007,1540.370900,1.2950E-004,1540.370900,3.0340E-008,1540.370900,3.0010E-008,1540.370900,3.0010E-008
1540.421800,1.8300E-007,1540.421800,1.2950E-004,1540.421800,2.3720E-008,1540.421800,8.0230E-009,1540.421800,8.0230E-009
1540.472700,1.9180E-007,1540.472700,1.2940E-004,1540.472700,1.7990E-008,1540.472700,1.4590E-008,1540.472700,1.4590E-008
1540.523600,1.6080E-007,1540.523600,1.2930E-004,1540.523600,1.3370E-008,1540.523600,2.5770E-008,1540.523600,2.5770E-008
1540.574500,1.9510E-007,1540.574500,1.2930E-004,1540.574500,1.1280E-008,1540.574500,9.6260E-009,1540.574500,9.6260E-009
1540.625400,1.3640E-007,1540.625400,1.2930E-004,1540.625400,1.7480E-008,1540.625400,1.4290E-008,1540.625400,1.4290E-008
1540.676300,1.6510E-007,1540.676300,1.2920E-004,1540.676300,1.0330E-008,1540.676300,4.3970E-009,1540.676300,4.3970E-009
1540.727200,1.3260E-007,1540.727200,1.2920E-004,1540.727200,1.7190E-008,1540.727200,3.4310E-008,1540.727200,3.4310E-008
1540.778100,1.4500E-007,1540.778100,1.2880E-004,1540.778100,1.7290E-008,1540.778100,2.8240E-008,1540.778100,2.8240E-008
1540.829000,1.1350E-007,1540.829000,1.2880E-004,1540.829000,1.2120E-008,1540.829000,9.6260E-009,1540.829000,9.6260E-009
1540.879900,1.1590E-007,1540.879900,1.2870E-004,1540.879900,1.4280E-008,1540.879900,1.4770E-009,1540.879900,1.4770E-009
1540.930800,1.1820E-007,1540.930800,1.2860E-004,1540.930800,1.3030E-008,1540.930800,1.8850E-008,1540.930800,1.8850E-008
1540.981700,1.2970E-007,1540.981700,1.2840E-004,1540.981700,9.3570E-009,1540.981700,3.1340E-008,1540.981700,3.1340E-008
1541.032600,1.2220E-007,1541.032600,1.2840E-004,1541.032600,1.8170E-008,1541.032600,1.9800E-008,1541.032600,1.9800E-008
1541.083500,1.1730E-007,1541.083500,1.2830E-004,1541.083500,1.0880E-008,1541.083500,2.8690E-008,1541.083500,2.8690E-008
1541.134400,1.2470E-007,1541.134400,1.2830E-004,1541.134400,2.3720E-008,1541.134400,3.2000E-008,1541.134400,3.2000E-008
1541.185300,1.1710E-007,1541.185300,1.2810E-004,1541.185300,1.2840E-008,1541.185300,8.0690E-009,1541.185300,8.0690E-009
1541.236200,1.2520E-007,1541.236200,1.2780E-004,1541.236200,1.3800E-008,1541.236200,1.4620E-008,1541.236200,1.4620E-008
1541.287100,1.1120E-007,1541.287100,1.2780E-004,1541.287100,1.2680E-008,1541.287100,2.8480E-008,1541.287100,2.8480E-008
1541.338000,1.0880E-007,1541.338000,1.2760E-004,1541.338000,1.3050E-008,1541.338000,1.2990E-008,1541.338000,1.2990E-008
1541.388900,1.0620E-007,1541.388900,1.2740E-004,1541.388900,1.2600E-008,1541.388900,1.0720E-008,1541.388900,1.0720E-008
1541.439800,1.3460E-007,1541.439800,1.2730E-004,1541.439800,1.7100E-008,1541.439800,2.7070E-008,1541.439800,2.7070E-008
1541.490700,9.8810E-008,1541.490700,1.2710E-004,1541.490700,1.1680E-008,1541.490700,5.3520E-009,1541.490700,5.3520E-009
1541.541600,1.0700E-007,1541.541600,1.2680E-004,1541.541600,1.8190E-008,1541.541600,2.2630E-008,1541.541600,2.2630E-008
1541.592500,1.2070E-007,1541.592500,1.2670E-004,1541.592500,1.0310E-008,1541.592500,4.3330E-008,1541.592500,4.3330E-008
1541.643400,1.1020E-007,1541.643400,1.2660E-004,1541.643400,1.0690E-008,1541.643400,1.2500E-009,1541.643400,1.2500E-009
1541.694300,1.2530E-007,1541.694300,1.2640E-004,1541.694300,2.5170E-008,1541.694300,1.4360E-008,1541.694300,1.4360E-008
1541.745200,1.1100E-007,1541.745200,1.2610E-004,1541.745200,1.4450E-008,1541.745200,1.7780E-008,1541.745200,1.7780E-008
1541.796100,1.2560E-007,1541.796100,1.2600E-004,1541.796100,9.1790E-009,1541.796100,1.5340E-008,1541.796100,1.5340E-008
1541.847000,1.3150E-007,1541.847000,1.2570E-004,1541.847000,1.1400E-008,1541.847000,1.2760E-008,1541.847000,1.2760E-008
1541.897900,1.2570E-007,1541.897900,1.2550E-004,1541.897900,1.2530E-008,1541.897900,2.9130E-008,1541.897900,2.9130E-008
1541.948800,1.3290E-007,1541.948800,1.2520E-004,1541.948800,1.2010E-008,1541.948800,1.0130E-008,1541.948800,1.0130E-008
1541.999700,1.4280E-007,1541.999700,1.2500E-004,1541.999700,1.4560E-008,1541.999700,3.0620E-008,1541.999700,3.0620E-008
1542.050600,1.1680E-007,1542.050600,1.2470E-004,1542.050600,1.4970E-008,1542.050600,2.1950E-008,1542.050600,2.1950E-008
1542.101500,1.3870E-007,1542.101500,1.2460E-004,1542.101500,1.3430E-008,1542.101500,2.1960E-008,1542.101500,2.1960E-008
1542.152400,1.1710E-007,1542.152400,1.2440E-004,1542.152400,1.2760E-008,1542.152400,-4.0150E-009,1542.152400,-4.0150E-009
1542.203300,1.2030E-007,1542.203300,1.2400E-004,1542.203300,1.3830E-008,1542.203300,-3.6400E-009,1542.203300,-3.6400E-009
1542.254200,1.2510E-007,1542.254200,1.2360E-004,1542.254200,1.3020E-008,1542.254200,1.9220E-009,1542.254200,1.9220E-009
1542.305100,1.2470E-007,1542.305100,1.2330E-004,1542.305100,1.2950E-008,1542.305100,3.0310E-008,1542.305100,3.0310E-008
1542.356000,1.2660E-007,1542.356000,1.2320E-004,1542.356000,1.4560E-008,1542.356000,1.2590E-008,1542.356000,1.2590E-008
1542.406900,1.2800E-007,1542.406900,1.2290E-004,1542.406900,9.6250E-009,1542.406900,1.0910E-008,1542.406900,1.0910E-008
1542.457800,1.4880E-007,1542.457800,1.2250E-004,1542.457800,1.3760E-008,1542.457800,1.7630E-009,1542.457800,1.7630E-009
1542.508700,1.0440E-007,1542.508700,1.2220E-004,1542.508700,1.9160E-008,1542.508700,1.4900E-008,1542.508700,1.4900E-008
1542.559600,1.4050E-007,1542.559600,1.2190E-004,1542.559600,1.2340E-008,1542.559600,1.1810E-008,1542.559600,1.1810E-008
1542.610500,1.3140E-007,1542.610500,1.2150E-004,1542.610500,1.4100E-008,1542.610500,1.0170E-008,1542.610500,1.0170E-008
1542.661400,1.4110E-007,1542.661400,1.2130E-004,1542.661400,1.8170E-008,1542.661400,3.0820E-008,1542.661400,3.0820E-008
1542.712300,1.5150E-007,1542.712300,1.2100E-004,1542.712300,1.3110E-008,1542.712300,4.5990E-008,1542.712300,4.5990E-008
1542.763200,1.5330E-007,1542.763200,1.2070E-004,1542.763200,1.7680E-008,1542.763200,-1.0350E-009,1542.763200,-1.0350E-009
1542.814100,1.6340E-007,1542.814100,1.2030E-004,1542.814100,1.4230E-008,1542.814100,2.7140E-008,1542.814100,2.7140E-008
1542.865000,2.0740E-007,1542.865000,1.2000E-004,1542.865000,1.7640E-008,1542.865000,2.1720E-008,1542.865000,2.1720E-008
1542.915900,1.4120E-007,1542.915900,1.1970E-004,1542.915900,1.2010E-008,1542.915900,2.1400E-008,1542.915900,2.1400E-008
1542.966800,1.2660E-007,1542.966800,1.1910E-004,1542.966800,1.1430E-008,1542.966800,1.6980E-008,1542.966800,1.6980E-008
1543.017700,1.4720E-007,1543.017700,1.1870E-004,1543.017700,1.2300E-008,1543.017700,2.8740E-008,1543.017700,2.8740E-008
1543.068600,1.4770E-007,1543.068600,1.1830E-004,1543.068600,2.3190E-008,1543.068600,1.9920E-008,1543.068600,1.9920E-008
1543.119500,1.5270E-007,1543.119500,1.1800E-004,1543.119500,1.1920E-008,1543.119500,1.3570E-008,1543.119500,1.3570E-008
1543.170400,1.2860E-007,1543.170400,1.1770E-004,1543.170400,2.3870E-008,1543.170400,1.8630E-008,1543.170400,1.8630E-008
1543.221300,1.3470E-007,1543.221300,1.1720E-004,1543.221300,1.0870E-008,1543.221300,1.5550E-008,1543.221300,1.5550E-008
1543.272200,1.1850E-007,1543.272200,1.1680E-004,1543.272200,1.7200E-008,1543.272200,3.1200E-008,1543.272200,3.1200E-008
1543.323100,1.1970E-007,1543.323100,1.1640E-004,1543.323100,1.1330E-008,1543.323100,1.6710E-008,1543.323100,1.6710E-008
1543.374000,1.3270E-007,1543.374000,1.1600E-004,1543.374000,1.3580E-008,1543.374000,3.7490E-008,1543.374000,3.7490E-008
1543.424900,1.4280E-007,1543.424900,1.1560E-004,1543.424900,1.3080E-008,1543.424900,2.2730E-008,1543.424900,2.2730E-008
1543.475800,1.3820E-007,1543.475800,1.1500E-004,1543.475800,1.3760E-008,1543.475800,2.2770E-008,1543.475800,2.2770E-008
1543.526700,1.3930E-007,1543.526700,1.1470E-004,1543.526700,2.0090E-008,1543.526700,2.5470E-008,1543.526700,2.5470E-008
